Timestamp,Time to Fill (seconds)
2025-01-26 10:09:53,13
2025-01-26 10:10:28,15
2025-01-26 10:19:08,2
2025-01-26 10:20:32,82
2025-01-26 10:20:42,3
2025-01-26 10:24:28,223
2025-01-26 10:27:04,153
2025-01-26 10:29:43,3
2025-01-26 10:29:55,3
2025-01-26 10:30:34,35
2025-01-26 10:35:08,1
2025-01-26 10:36:04,53
2025-01-26 10:36:12,3
2025-01-26 10:38:29,41
2025-01-26 10:38:33,1
2025-01-26 10:40:06,84
2025-01-26 10:43:24,8
2025-01-26 10:43:33,0
2025-01-26 10:44:20,0
2025-01-26 10:45:46,0
2025-01-26 10:48:49,0
2025-01-26 10:48:52,0
2025-01-26 10:48:58,0
2025-01-26 10:49:05,0
2025-01-26 10:49:09,3
2025-01-26 10:49:14,2
2025-01-26 11:01:01,2
2025-01-26 11:11:09,5
2025-01-26 11:12:28,75
2025-01-26 11:26:24,3
2025-01-26 11:29:30,183
2025-01-26 11:39:06,572seconds
2025-01-26 11:41:18,125seconds
2025-01-26 11:41:27,5seconds
2025-01-26 11:44:54,201seconds
2025-01-26 11:47:23,142seconds
2025-01-26 11:54:06,395seconds
2025-01-26 11:58:12,10seconds
2025-01-26 12:09:10,639seconds
2025-01-26 12:17:34,486seconds
2025-01-26 12:18:04,0seconds
2025-01-26 12:18:06,0seconds
2025-01-26 12:18:07,0seconds
2025-01-26 12:18:08,0seconds
2025-01-26 12:19:22,70seconds
